accession,superkingdom,phylum,class,order,family,genus,species
GCA_003661365.1,Archaea,Thermoproteota,Korarchaeia,Korarchaeales,QMVU01,QMVU01,QMVU01 sp003661365
GCA_001940645.1,Archaea,Asgardarchaeota,Heimdallarchaeia,LC-3,LC-3,LC-3,LC-3 sp001940645
GCA_005191425.1,Archaea,Asgardarchaeota,Lokiarchaeia,Helarchaeales,HEL-GB-B,HEL-GB-B,HEL-GB-B sp005191425
GCA_004524545.1,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,AMARA-1,AMARA-1,AMARA-1 sp004524545
GCA_004375715.1,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SOKP01,SOKP01 sp004375715
GCA_004524535.1,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SDNM01,SDNM01 sp004524535
GCA_004524385.1,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SDNM01,SDNM01 sp004524385
GCA_004524725.1,Archaea,Asgardarchaeota,Lokiarchaeia,CR-4,SOKP01,SOKP01,SOKP01 sp004524725
GCA_003021335.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Halovenus sp003021335
GCA_002011165.1,Archaea,Halobacteriota,Archaeoglobi,JdFR-21,JdFR-21,JdFR-21,JdFR-21 sp002011165
GCA_002010305.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,JdFR-42,JdFR-42,JdFR-42 sp002010305
GCA_004347825.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp004347825
GCF_000008665.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus
GCA_002507545.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus sp002507545
GCA_002011215.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_A,Archaeoglobus_A sp002011215
GCA_002011235.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_A,Archaeoglobus_A sp002011235
GCA_003663025.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_B,Archaeoglobus_B sp003663025
GCF_000025285.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_B,Archaeoglobus_B profundus
GCA_003663055.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_C,Archaeoglobus_C sp003663055
GCA_003978865.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_C,Archaeoglobus_C sp003978865
GCF_001006045.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,Geoglobus ahangari
GCA_002494725.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,Geoglobus sp002494725
GCA_004347865.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp004347865
GCA_002010075.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales_A,Methermicoccaceae,JdFR-19,JdFR-19 sp002010075
GCF_900114835.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus profundi
GCA_004212095.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,EX4572-44,RPGO01,RPGO01 sp004212095
GCA_002255135.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,EX4572-44,EX4572-44,EX4572-44 sp002255135
GCA_002254825.2,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,EX4572-44,EX4572-44,EX4572-44 sp002254825
GCA_004193545.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,EX4572-44,RPGO01,RPGO01 sp004193545
GCA_002839545.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens_A,Methanoperedens_A sp002839545
GCA_003104905.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp003104905
GCF_000685155.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens nitroreducens
GCA_003661105.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,ANME-2c,UBA203,UBA203 sp003661105
GCA_013329415.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,MTP4,MTP4 sp9310u
GCF_000970045.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,MTP4,MTP4 sp000970045
GCF_000765475.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides methylutens
GCF_900774055.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides sp900774055
GCF_900215215.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus euhalobius
GCF_003722075.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus sp003722075
GCA_003164755.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp003164755
GCA_002507205.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus sp002507205
GCA_002067275.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans sp002067275
GCF_000328665.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans hollandica
GCF_000217995.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,Methanosalsum zhilinae
GCA_007127385.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,Methanosalsum sp007127385
GCF_000970205.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei
GCF_000970305.1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri_A
GCA_001766825.1,Archaea,Halobacteriota,Syntropharchaeia,Syntropharchaeales,Syntropharchaeaceae,Syntropharchaeum,Syntropharchaeum butanivorans
GCA_003661185.1,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,B39-G2,B39-G2,B39-G2 sp003661185
GCA_003336485.1,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QENH01,QENH01 sp003336485
GCA_003160755.1,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QEXZ01,QEXZ01 sp003160755
